ID,text
F-10,"Objective Original: Understand the relationship between inputs and outputs for functions of one or two input variables, to include functions defined piecewise.
**Objective Revised**: Recognize that functions are a way of representing (storing) what we know and be able to use properly the basic nomenclature of functions)."
F-20,Understand that a mathematical graph consists of points in a composite space: the input $	imes$ output.
F-21,"Interpret a contour plot of a function of two input variables, to include estimating function values and locations of peaks and valleys."
F-23,"Know what is meant by a slice of function of two variables.  Be able to determine if a function is increasing, decreasing, or constant when moving horizontally or vertically on the contour plot."
F-30,Identify the structure of function notation when the function is defined by a formula.
F-31-R,Identify and create R versions of mathematical functions using `makeFun()` and tilde expressions.
F-32-R,"Use the `slice_plot()`, `contour_plot()`, and `domain()` functions in R/`mosaic`."
F-33,"Master the conventions used in CalcZ for giving names to functions and for referring to functions with ""pronouns."""
Fun-1C-a,Review (from previous math classes) the parameters of the straight-line function: y-intercept and slope.
Fun-1C-b,Use a straight-line function in a modeling context.
Fun-1C-c,Spot discrepancies of data from a straight-line model.
Fun-2b,Know that exponential functions have the property that their slope (rate of change) at each input is proportional to the height of the function at that same input. And that the slopes approach zero in one of the directions.
Fun-2c,"Understand that $e^{kt}$, $2^{k_2 t}$, and $10^{k_{10} t}$ are all the same function, when $k = k_2 \ln(2) = k_{10} \ln(10)$. Relate $k_2$ to the doubling time and $k_{10}$ to the time to increase 10-fold."
Fun-2d,Distinguish between exponential functions and power-law functions.
Fun-2e,Relate power-law functions to physical quantities.
Fun-3a1,Understand a logarithm (base-10) as signifying the magnitude in terms of the number of digits.
Fun-magnitude,See $\log_2()$ and $\log_{10}()$ as counting digits in base-2 and -10 respectively.
Fun-3B-a,Become familiar with the sinusoid functions and the period parameter. Be able to identify the period from the graph of a sinusoid-like function.
Fun-3B-a,Recognize general graphical features of sigmoidal functions and their associated hump functions
Fun-3B-b,Explain why the slope function of a sigmoidal function is a hump function.
Fun-3B-c,OPTIONAL Be aware of different formulations for the hump sigmoidal functions.
Fun-inverse,"Understand the operation of ""solving"" a function and be able to translate this into ""zero-finding""."
Fun-3a2,Determine whether a function has an inverse.  Know that exponential and logarithmic functions are inverses and that the inverse of a power-law function is another power-law function.
Fun-4-a-1,Construct a straight-line model that fits data.
Fun-5a,"Given numerical or graphical data, determine if an exponential model is appropriate."
Fun-5b,Estimate half-life/doubling time for an exponential function.
Fun-5c,Estimate the baseline of an exponential function for exponential growth and decay.
Fun-7a,"Know how the parameter values in a sinusoidal function affect the amplitude, period, phase shift, and vertical shift (table page 185)"
Fun-7b,"Given a sinusoidal graph, be able to estimate the amplitude, period, phase shift, and vertical shift (table page 185)"
Fun-7c,Recognize when a sinusoidal model is appropriate.
Fun-4-c-1,Use linear combination and direct multiplication of functions of one variable to produce functions of multiple variables
Fun-4-c-2,Recognize that composition of functions does not itself create a function of multiple variables.
Fun-4-b-4a,Identify graphs of a piecewise linear function.
Fun-1C-d,Construct a hock-stick function by piecewise combination of a constant function and a straight-line function with non-zero slope.
Fun-4-b-4b,Recognize traditional curly-brace notation for piecewise functions.
Fun-4-b-4c,Be able to create a piecewise function in R.
Fun-4-b-4d,Distinguish between continuous and discontinuous functions
Fun-10e,Know when [mathematical] operations with ~~units~~ [dimension] are valid or undefined.
Fun-10f,Use dimensional arithmetic to solve for the dimensions of an unknown term
Fun-10a,Know the definition of a fundamental dimension and the notation for the most common ones (definition page 241-242)
Fun-10b,Understand how derived dimensions are formed from fundamental dimensions (definition page 241-242)
Fun-10c,Know that units are ways of measuring dimensions and derived dimensions.
Fun-10d,Understand the bracket notation and how it works with dimensional arithmetic.
Deriv-2a,"Identify the ""average rate of change"" of a function over an interval as the overall change in output divided by the change in input."
Deriv-2b,"Distinguish the ""average rate of change"" from the ""instantaneous rate of change""."
Deriv-2b,Understand how calculating the slope (using a small value of h) of a function reflects the instantaneous rate of change of the function at that point.
Diff-1a,"Understand the relations between position, velocity, and acceleration as ""change relations."""
Deriv-3a,Understand the physical analogs of continuity and smoothness.
Deriv-3b,"Determine if a function is continuous by thinking about the ""pencil stays on paper"" technique"
Deriv-3c,"Understand smooth of degree 1 as “Function is continuous, derivative is continuous"
Deriv-3d,"Understand smooth of degree as ""Smooth of degree  and the derivative is continuous"""
Fun-4-b-4e,"Identify ""division by zero"" as a source of interruption in the domain of a function. [[??? Redefine the function to avoid the disruption.]]"
Deriv-7a-1,Know the derivatives of the Naked Core Functions
Deriv-7a-2,Apply the basic derivative shortcuts to find the derivative of a function.
